
AP UTC TIME:2026-03-18-02-15-35, reset cnt:0
Jan  1 08:00:04.500 (none) syslog.info syslogd started: BusyBox v1.35.0
Jan  1 08:00:04.505 (none) kern.notice kernel: klogd started: BusyBox v1.35.0 (2026-03-13 00:09:36 CST)
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.499554] pl320 40613000.pl320: chan[4], src_int[14] mbox[4] dst_int[4] irq[32] src_ep[SCP] dst_ep[A55], init[1]
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.511205] pl320 40613000.pl320: chan[5], src_int[18] mbox[5] dst_int[5] irq[33] src_ep[SH1] dst_ep[A55], init[1]
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.522853] pl320 40613000.pl320: chan[6], src_int[19] mbox[6] dst_int[6] irq[34] src_ep[SH1] dst_ep[A55], init[1]
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.534444] register cb success
Jan  1 08:00:04.509 (none) kern.err kernel: [   28.537955] vivian_pl320_get_chan chan = 2 is outrange, only 0 tx channels for AP
Jan  1 08:00:04.509 (none) kern.info kernel: [   28.546484] pl320 40800000.pl320: chan[0], src_int[15] mbox[0] dst_int[0] irq[35] src_ep[A55] dst_ep[SH0], init[0]
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.558103] pl320 40800000.pl320: chan[1], src_int[16] mbox[1] dst_int[1] irq[36] src_ep[A55] dst_ep[SH0], init[0]
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.569711] pl320 40800000.pl320: chan[2], src_int[17] mbox[2] dst_int[2] irq[37] src_ep[A55] dst_ep[SH0], init[0]
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.581316] pl320 40800000.pl320: chan[3], src_int[18] mbox[3] dst_int[3] irq[38] src_ep[A55] dst_ep[SH0], init[0]
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.592929] pl320 40800000.pl320: chan[4], src_int[19] mbox[4] dst_int[4] irq[39] src_ep[A55] dst_ep[SH0], init[0]
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.604534] pl320 40800000.pl320: chan[5], src_int[20] mbox[5] dst_int[5] irq[40] src_ep[A55] dst_ep[SH0], init[0]
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.616146] pl320 40800000.pl320: chan[6], src_int[21] mbox[6] dst_int[6] irq[41] src_ep[A55] dst_ep[SH0], init[0]
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.627753] pl320 40800000.pl320: chan[7], src_int[22] mbox[7] dst_int[7] irq[42] src_ep[A55] dst_ep[SH0], init[0]
Jan  1 08:00:04.510 (none) kern.err kernel: [   28.639348] pl320 40800000.pl320: IRQ index 8 not found
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.645189] pl320 40800000.pl320: chan[8], src_int[23] mbox[8] dst_int[8] irq[-6] src_ep[SCP] dst_ep[SH0], init[0]
Jan  1 08:00:04.510 (none) kern.err kernel: [   28.656785] pl320 40800000.pl320: IRQ index 9 not found
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.662627] pl320 40800000.pl320: chan[9], src_int[24] mbox[9] dst_int[9] irq[-6] src_ep[SCP] dst_ep[SH0], init[0]
Jan  1 08:00:04.510 (none) kern.err kernel: [   28.674221] pl320 40800000.pl320: IRQ index 10 not found
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.680163] pl320 40800000.pl320: chan[10], src_int[25] mbox[10] dst_int[10] irq[-6] src_ep[AP] dst_ep[SH0], init[0]
Jan  1 08:00:04.510 (none) kern.err kernel: [   28.691944] pl320 40800000.pl320: IRQ index 11 not found
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.697885] pl320 40800000.pl320: chan[11], src_int[26] mbox[11] dst_int[11] irq[-6] src_ep[AP] dst_ep[SH0], init[0]
Jan  1 08:00:04.510 (none) kern.err kernel: [   28.709670] pl320 40800000.pl320: IRQ index 12 not found
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.715607] pl320 40800000.pl320: chan[12], src_int[27] mbox[12] dst_int[12] irq[-6] src_ep[AP] dst_ep[SH0], init[0]
Jan  1 08:00:04.510 (none) kern.err kernel: [   28.727393] pl320 40800000.pl320: IRQ index 13 not found
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.733334] pl320 40800000.pl320: chan[13], src_int[28] mbox[13] dst_int[13] irq[-6] src_ep[AP] dst_ep[SH0], init[0]
Jan  1 08:00:04.510 (none) kern.err kernel: [   28.745117] pl320 40800000.pl320: IRQ index 14 not found
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.751058] pl320 40800000.pl320: chan[14], src_int[29] mbox[14] dst_int[14] irq[-6] src_ep[AP] dst_ep[SH0], init[0]
Jan  1 08:00:04.510 (none) kern.err kernel: [   28.762824] vivian_pl320_get_chan chan = 2 is outrange, only 0 tx channels for AP
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.771380] pl320 40801000.sh_pl320: chan[0], src_int[3] mbox[0] dst_int[0] irq[43] src_ep[A55] dst_ep[SH1], init[0]
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.783186] pl320 40801000.sh_pl320: chan[1], src_int[4] mbox[1] dst_int[1] irq[44] src_ep[A55] dst_ep[SH1], init[0]
Jan  1 08:00:04.510 (none) kern.err kernel: [   28.794954] vivian_pl320_get_chan chan = 2 is outrange, only 0 tx channels for AP
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.803472] pl320 42504000.pl320: chan[0], src_int[16] mbox[0] dst_int[0] irq[45] src_ep[A55] dst_ep[DSP0], init[0]
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.815187] pl320 42504000.pl320: chan[1], src_int[17] mbox[1] dst_int[4] irq[46] src_ep[A55] dst_ep[DSP1], init[0]
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.826892] pl320 42504000.pl320: chan[2], src_int[18] mbox[2] dst_int[8] irq[47] src_ep[A55] dst_ep[DSP2], init[0]
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.838598] pl320 42504000.pl320: chan[3], src_int[19] mbox[3] dst_int[12] irq[48] src_ep[A55] dst_ep[DSP3], init[0]
Jan  1 08:00:04.510 (none) kern.err kernel: [   28.850367] vivian_pl320_get_chan chan = 2 is outrange, only 0 tx channels for AP
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.858889] pl320 42e00000.pl320: chan[0], src_int[13] mbox[0] dst_int[0] irq[49] src_ep[A55] dst_ep[AP], init[0]
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.870406] pl320 42e00000.pl320: chan[1], src_int[14] mbox[1] dst_int[1] irq[50] src_ep[A55] dst_ep[AP], init[0]
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.881917] pl320 42e00000.pl320: chan[2], src_int[15] mbox[2] dst_int[2] irq[51] src_ep[A55] dst_ep[AP], init[0]
Jan  1 08:00:04.510 (none) kern.err kernel: [   28.893415] pl320 42e00000.pl320: IRQ index 3 not found
Jan  1 08:00:04.510 (none) kern.info kernel: [   28.899257] pl320 42e00000.pl320: chan[3], src_int[21] mbox[3] dst_int[3] irq[-6] src_ep[SH0] dst_ep[AP], init[0]
Jan  1 08:00:04.510 (none) kern.err kernel: [   28.910752] pl320 42e00000.pl320: IRQ index 4 not found
Jan  1 08:00:04.511 (none) kern.info kernel: [   28.916594] pl320 42e00000.pl320: chan[4], src_int[22] mbox[4] dst_int[4] irq[-6] src_ep[SH0] dst_ep[AP], init[0]
Jan  1 08:00:04.511 (none) kern.err kernel: [   28.928090] pl320 42e00000.pl320: IRQ index 5 not found
Jan  1 08:00:04.511 (none) kern.info kernel: [   28.933933] pl320 42e00000.pl320: chan[5], src_int[23] mbox[5] dst_int[5] irq[-6] src_ep[SH0] dst_ep[AP], init[0]
Jan  1 08:00:04.511 (none) kern.err kernel: [   28.945428] pl320 42e00000.pl320: IRQ index 6 not found
Jan  1 08:00:04.511 (none) kern.info kernel: [   28.951269] pl320 42e00000.pl320: chan[6], src_int[18] mbox[6] dst_int[6] irq[-6] src_ep[SCP] dst_ep[AP], init[0]
Jan  1 08:00:04.511 (none) kern.err kernel: [   28.962763] pl320 42e00000.pl320: IRQ index 7 not found
Jan  1 08:00:04.511 (none) kern.info kernel: [   28.968609] pl320 42e00000.pl320: chan[7], src_int[19] mbox[7] dst_int[7] irq[-6] src_ep[SCP] dst_ep[AP], init[0]
Jan  1 08:00:04.511 (none) kern.err kernel: [   28.980103] pl320 42e00000.pl320: IRQ index 8 not found
Jan  1 08:00:04.511 (none) kern.info kernel: [   28.985950] pl320 42e00000.pl320: chan[8], src_int[20] mbox[8] dst_int[8] irq[-6] src_ep[SCP] dst_ep[AP], init[0]
Jan  1 08:00:04.511 (none) kern.warn kernel: [   28.998042] vivian_ipc_notifier_func base: 0x0, limit:0xbfff, target:0xb0010000
Jan  1 08:00:04.511 (none) kern.info kernel: [   29.009740] sharedata-drv soc:vivian-shdata: create shared memory device done
Jan  1 08:00:04.511 (none) kern.info kernel: [   29.019432] btd-pdomain btd-power-domain.1: add power domain:	pd-npu
Jan  1 08:00:04.511 (none) kern.info kernel: [   29.026803] btd-pdomain btd-power-domain.2: add power domain:	pd-mipi-dsi-rx
Jan  1 08:00:04.511 (none) kern.info kernel: [   29.034960] btd-pdomain btd-power-domain.3: add power domain:	pd-mipi-dsi-tx
Jan  1 08:00:04.511 (none) kern.info kernel: [   29.043105] btd-pdomain btd-power-domain.4: add power domain:	pd-dpu
Jan  1 08:00:04.511 (none) kern.info kernel: [   29.050480] btd-pdomain btd-power-domain.5: add power domain:	pd-mipi-csi-rgb
Jan  1 08:00:04.511 (none) kern.info kernel: [   29.058752] btd-pdomain btd-power-domain.6: add power domain:	pd-isp-rgb
Jan  1 08:00:04.511 (none) kern.info kernel: [   29.066514] btd-pdomain btd-power-domain.7: add power domain:	pd-mipi-csi-tx
Jan  1 08:00:04.511 (none) kern.info kernel: [   29.074666] btd-pdomain btd-power-domain.8: add power domain:	pd-mipi-csi-mono
Jan  1 08:00:04.511 (none) kern.info kernel: [   29.083003] btd-pdomain btd-power-domain.9: add power domain:	pd-sh-star1
Jan  1 08:00:04.511 (none) kern.info kernel: [   29.090861] btd-pdomain btd-power-domain.10: add power domain:	pd-debugss
Jan  1 08:00:04.511 (none) kern.info kernel: [   29.098713] btd-pdomain btd-power-domain.11: add power domain:	pd-dsp-dummy
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.106577] bytedance-power-domain soc:power-domains: finish to add all the power domains
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.117907] btd-pdomain btd-power-domain.4: power on pd-dpu
Jan  1 08:00:04.512 (none) kern.err kernel: [   29.124429] vivian_dpu 50200000.dpu: DPU running on physical platform!
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.134086] vivian_dpu 50200000.dpu: assigned reserved memory node dpu_resv@224400000
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.142944] vivian_dpu 50200000.dpu: Disable all IRQs!
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.148842] vivian_dpu 50200000.dpu: Setup DPU IRQ successfully with irq 98
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.156754] Jump to 0x224401800
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.160270] Jump back to 0x224401034
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.164267] PKG buffer 0x224401000, size = 76
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.169143] vivian_dpu 50200000.dpu: DPU KMD smoke test succeed!
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.175862] vivian_dpu 50200000.dpu: vivian_dpu_probe(0) mmio: [0x50200000, 0x160000] successfully!
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.185994] btd-pdomain btd-power-domain.4: power off pd-dpu
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.192495] btd-pdomain btd-power-domain.4: power on pd-dpu
Jan  1 08:00:04.512 (none) kern.err kernel: [   29.198999] vivian_dpu 50360000.dpu: DPU running on physical platform!
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.206343] vivian_dpu 50360000.dpu: assigned reserved memory node dpu_resv@224400000
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.215190] vivian_dpu 50360000.dpu: Disable all IRQs!
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.221079] vivian_dpu 50360000.dpu: Setup DPU IRQ successfully with irq 99
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.228964] Jump to 0x224402800
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.232482] Jump back to 0x224402034
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.236478] PKG buffer 0x224402000, size = 76
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.241353] vivian_dpu 50360000.dpu: DPU KMD smoke test succeed!
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.248068] vivian_dpu 50360000.dpu: vivian_dpu_probe(1) mmio: [0x50360000, 0x160000] successfully!
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.258200] btd-pdomain btd-power-domain.4: power off pd-dpu
Jan  1 08:00:04.512 (none) kern.warn kernel: [   29.266438] bd_logbuf reserved mem: 0x0000000212070000, size 0x200000
Jan  1 08:00:04.512 (none) kern.warn kernel: [   29.273649] bd_logbuf header:       0xffffffc02b000000, size 0x40
Jan  1 08:00:04.512 (none) kern.warn kernel: [   29.280461] bd_logbuf buffer:       0xffffffc02b000040, size 0x1fffc0
Jan  1 08:00:04.512 (none) kern.warn kernel: [   29.287660] bd_logbuf init success
Jan  1 08:00:04.512 (none) kern.warn kernel: [   29.292321] bd_console reserved mem: 0x00000002122f0000, size 0x20000
Jan  1 08:00:04.512 (none) kern.warn kernel: [   29.299526] bd_console header:       0xffffffc02aa40000, size 0x40
Jan  1 08:00:04.512 (none) kern.warn kernel: [   29.306436] bd_console buffer:       0xffffffc02aa40040, size 0x1ffc0
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.314902] printk: console [bd_console-1] enabled
Jan  1 08:00:04.512 (none) kern.warn kernel: [   29.320263] bd_console init success
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.325045] btd-pdomain btd-power-domain.1: power on pd-npu
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.331976] vivian_npu 43400000.vivian_npu: index: 0, irq-id:116 
Jan  1 08:00:04.512 (none) kern.info kernel: [   29.338884] vivian_npu 43400000.vivian_npu: index: 1, irq-id:117 
Jan  1 08:00:04.513 (none) kern.info kernel: [   29.345801] btd-pdomain btd-power-domain.1: power off pd-npu
Jan  1 08:00:04.513 (none) kern.err kernel: [   29.352982] vivian_iATU soc:vivian_iatu: No platform data
Jan  1 08:00:04.513 (none) kern.info kernel: [   29.359040] vivian_iATU soc:vivian_iatu: Probe result: 0
Jan  1 08:00:04.513 (none) kern.err kernel: [   29.365004] vivian_pl320_get_chan chan = 3 is outrange, only 3 rx channels for AP
Jan  1 08:00:04.513 (none) kern.info kernel: [   29.366679] vivian_hdma soc:vivian_hdma: Probed success
Jan  1 08:00:04.513 (none) kern.err kernel: [   29.373388] vivian_pl320_get_chan chan = 3 is outrange, only 3 rx channels for AP
Jan  1 08:00:04.513 (none) kern.info kernel: [   29.380066] vivian_firewall 50010000.vivian_firewall: base phy:0x50010000,vir:0xffffffc02a775000,sz:0x1000
Jan  1 08:00:04.513 (none) kern.info kernel: [   29.398543] vivian_firewall 50010000.vivian_firewall: Probed success
Jan  1 08:00:04.513 (none) kern.info kernel: [   29.406504] vivian_msi_heartbeat 42e01000.vivian_msi_heartbeat: index:0, base phy:0x42e01000,vir:0xffffffc02a77d000,sz:0x1000
