工单ID	工单状态	资产名称	分支	扫描类型	命中规则	工单处理人	资产负责人	创建时间	Leader	问题路径	处理节点	工单链接	服务树路径(仅针对TCC检测)	代码详情
85667957	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dylib		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/SpatialAudio/Plugins/OSX/libPicoAudioRouter.dylib	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667957_num_
85667956	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dylib		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/SpatialAudio/Plugins/OSX/libPicoSpatializer.dylib	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667956_num_
85667955	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.aar		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Enterprise/android/capturelib-0.0.7.aar	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667955_num_
85667954	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dll		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/SpatialAudio/Plugins/Win/x64/PicoSpatializer.dll	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667954_num_
85667953	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.so		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/SpatialAudio/Plugins/Android/libs/arm64-v8a/libPicoAudioRouter.so	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667953_num_
85667952	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dll		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/SpatialAudio/Plugins/Win/x64/PicoAudioRouter.dll	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667952_num_
85667951	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dll		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/SpatialAudio/Plugins/Win/x64/PicoAmbisonicDecoder.dll	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667951_num_
85667950	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.aar		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Enterprise/android/tob_api-release.aar	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667950_num_
85667949	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.dylib		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/SpatialAudio/Plugins/OSX/libPicoAmbisonicDecoder.dylib	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667949_num_
85667948	open	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	binary_check	.so		zhaozhenjia	2026-02-24 13:35:46	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/SpatialAudio/Plugins/Android/libs/armeabi-v7a/libPicoAudioRouter.so	need fix	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85667948_num_
